Send:	536	536	18
Recv:	536	518	18
Send:	1072	1072	536
Recv:	1072	536	536
Send:	1608	1608	536
Recv:	1608	1072	536
Send:	2144	2144	536
Recv:	2144	1608	536
Send:	2278	2278	536
Recv:	2278	1742	536
Send:	2404	2404	536
Recv:	2404	1868	536
Send:	2523	2523	536
Recv:	2523	1987	536
Send:	2636	2636	536
Recv:	2636	2100	536
Send:	2744	2744	536
Recv:	2744	2208	536
Send:	2848	2848	536
Recv:	2848	2312	536
Send:	2948	2948	176
Recv:	2948	2772	176
Send:	3045	3045	536
Recv:	3045	2509	536
Send:	3072	3072	536
Recv:	3072	2536	536
Send:	3072	3072	536
Recv:	3072	2536	536
Send:	3072	3072	536
Recv:	3072	2536	536
Send:	3072	3072	536
Recv:	3072	2536	536
Send:	3072	3072	536
Recv:	3072	2536	536
Send:	3072	3072	66
Recv:	3072	3006	66
